,Kasus_Terkonfirmasi_Akumulatif,Kasus_Sembuh_Akumulatif,Kasus_Meninggal_Akumulatif,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,MEN,Women
ACEH,409496.0,239197.0,14901.0,155401.0,2.341617690789394e+18,1.413004239857155e+18,26918.0,26963.0
BALI,914200.0,767404.0,23592.0,123183.0,1.6815326315065856e+18,8.899778493629901e+17,22214.0,21931.0
BANTEN,653419.0,447316.0,24345.0,181134.0,1.5583890418242214e+18,9.218851700458757e+17,65579.0,63374.0
BENGKULU,73135.0,48913.0,4151.0,20085.0,1.0909670567473009e+18,1.3665098240281124e+18,10152.0,9791.0
DIYOGYAKARTA,73135.0,48913.0,4151.0,20085.0,1.0909670567473009e+18,1.3665098240281124e+18,10152.0,9791.0
DKIJAKARTA,7684369.0,5936777.0,219740.0,1525723.0,1.8103159580782515e+18,1.1788158320492849e+18,10152.0,9791.0
GORONTALO,264636.0,224378.0,7574.0,32518.0,1.7510455818549322e+18,1.1049272357112402e+18,5935.0,5928.0
INDONESIA,264636.0,224378.0,7574.0,32518.0,1.7510455818549322e+18,1.1049272357112402e+18,1353370.0,1342664.0
JAMBI,71078.0,34986.0,1237.0,34816.0,1.4514418154247777e+18,1.998723120340177e+18,18313.0,17729.0
JAWABARAT,2399107.0,1467149.0,58889.0,871444.0,2.0527409464768888e+18,1.426607441816123e+18,18313.0,17729.0
JAWATENGAH,2474697.0,1718597.0,144174.0,611187.0,1.2544044784458929e+18,1.3913406157370368e+18,18313.0,17729.0
JAWATIMUR,4889173.0,3697015.0,357472.0,826567.0,1.6758703321616607e+18,9.258101172822193e+17,18313.0,17729.0
KALIMANTANBARAT,124146.0,98211.0,1338.0,24459.0,8.527345832406339e+17,7.542823343346428e+17,18313.0,17729.0
KALIMANTANSELATAN,1173812.0,851400.0,51965.0,269267.0,9.24110596674142e+17,1.2033655285502172e+18,18313.0,17729.0
KALIMANTANTENGAH,396136.0,297493.0,16171.0,82306.0,1.6847376139689984e+18,8.622705631073591e+17,18313.0,17729.0
KALIMANTANTIMUR,844861.0,598650.0,29839.0,216614.0,1.8813590516365788e+18,1.1614884923598467e+18,18313.0,17729.0
KALIMANTANUTARA,72891.0,58048.0,600.0,14329.0,9.679475687155813e+17,8.336683282486499e+17,18313.0,17729.0
KEP.BANGKABELITUNG,72891.0,58048.0,600.0,14329.0,9.679475687155813e+17,8.336683282486499e+17,18313.0,17729.0
KEP.RIAU,72891.0,58048.0,600.0,14329.0,9.679475687155813e+17,8.336683282486499e+17,18313.0,17729.0
LAMPUNG,108789.0,70048.0,4728.0,33889.0,1.4552625454310774e+18,1.1354936462226148e+18,43643.0,41706.0
MALUKU,310724.0,208591.0,4787.0,96909.0,1.3606220633426179e+18,1.6355774452144307e+18,9004.0,8867.0
MALUKUUTARA,245250.0,168685.0,8692.0,67776.0,2.2204874729422564e+18,8.812175309495228e+17,9004.0,8867.0
NUSATENGGARABARAT,407497.0,298501.0,21856.0,86622.0,1.4341980687846712e+18,1.1035596103376916e+18,9004.0,8867.0
NUSATENGGARATIMUR,48142.0,31916.0,561.0,15522.0,1.0833560913394785e+18,9.261447117496586e+17,9004.0,8867.0
PAPUA,717570.0,393421.0,9248.0,313926.0,1.181894222178815e+18,2.2823219962522066e+18,17777.0,16154.0
PAPUABARAT,230907.0,163500.0,3523.0,63804.0,1.415739774182026e+18,1.2615926301446246e+18,17777.0,16154.0
RIAU,716463.0,473172.0,16079.0,227220.0,1.6558361217688018e+18,1.350486486061826e+18,35532.0,33980.0
SULAWESIBARAT,75988.0,52395.0,1167.0,22391.0,1.4070399622767828e+18,8.623676439816959e+17,35532.0,33980.0
SULAWESISELATAN,1800893.0,1327661.0,52916.0,419132.0,1.7860747686234079e+18,8.615838680473056e+17,35532.0,33980.0
SULAWESITENGAH,61601.0,44245.0,2313.0,15119.0,1.5429336765389e+18,6.96705388390776e+17,35532.0,33980.0
SULAWESITENGGARA,312860.0,216959.0,5660.0,90317.0,1.6456654697117053e+18,8.520749245928701e+17,35532.0,33980.0
SULAWESIUTARA,507603.0,353554.0,22244.0,131155.0,2.008990461664336e+18,1.0245063177610605e+18,35532.0,33980.0
SUMATERABARAT,725702.0,454193.0,15666.0,255954.0,1.7637540471139146e+18,1.5394908854201062e+18,35532.0,33980.0
SUMATERASELATAN,718592.0,486714.0,37925.0,192603.0,1.1654255584552394e+18,9.658544592795593e+17,35532.0,33980.0
